respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,Wie alt sind Sie?,Was ist Ihr Geschlecht?,Wie viele Personen leben in Ihrem Haushalt?,In welcher Art von Unterkunft wohnen Sie?,,,,Welche Art von Strom beziehen Sie hauptsächlich?,"Denken Sie, dass die zunehmende Erzeugung erneuerbarer Energien Herausforderungen für das Stromsystem mit sich bringt? Wenn ja, welche?Falls Sie es nicht wissen, können Sie gerne ‚wn‘ (weiss nicht) schreiben.",Welche der folgenden Konsequenzen der zunehmenden Einspeisung von erneuerbaren Energien ist aus Ihrer Sicht problematisch? (Nur eine Antwort möglich)?,"Bitte bewerten Sie, wie wichtig es für Sie ist, die folgenden Haushaltsgeräte jederzeit nutzen zu können (1 = sehr unwichtig, 5 = sehr wichtig)",,,,,,"Könnten Sie sich vorstellen, eines der folgenden Haushaltsgeräte für einen begrenzten Zeitraum nicht einzuschalten, wenn Sie vom Elektrizitätswerk darum gebeten werden?",,,,,,"Würde sich Ihre Bereitschaft erhöhen, die folgenden Haushaltsgeräte nicht zu nutzen, wenn Sie dafür eine finanzielle Belohnung erhalten würden?",,,,,,,,,,,,"Könnten Sie sich vorstellen, von Ihrem Elektrizitätswerk benachrichtigt zu werden (z. B. per SMS oder App), wenn das Stromnetz stark ausgelastet ist?","Könnten Sie sich vorstellen, einen intelligenten Zwischenstecker (Smart Plug) an Ihren Geräten zu installieren, damit Ihr Elektrizitätswerk Ihren Beitrag messen und Sie entsprechend vergüten kann?",Wie hoch ist Ihr monatliches Haushaltsnettoeinkommen?,Was ist Ihr höchster Bildungsabschluss?,Welche der folgenden Parteien entspricht am ehesten Ihrer politischen Präferenz?
118864004036,458224841,05/13/2025 11:59:01 AM,05/13/2025 12:04:41 PM,138.248.50.238,,,,,69,Weiblich,2,,,,Haus (Eigentum),Konventionellen Strom (Kernenergie und fossilen Brennstoffen),wn,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,4,5 = sehr wichtig,2,3,4,2,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",10%,Nein,,"Ja, f",15%,Nein,,"Ja, +",10%,"Ja, f",,Ja,Ja,7.001 - 10.000 CHF,Sekundarschule/Realschule,Schweizerische Volkspartei (SVP)
118863985701,458224841,05/13/2025 11:26:45 AM,05/13/2025 11:31:10 AM,188.63.173.146,,,,,44,Weiblich,2,,,,Haus (Eigentum),Eine Mischung aus konventionellem Strom und Ökostrom,wn,Herausforderungen für die Stabilität der Netze,2,4,3,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,"Ja, f",,Nein,Nein,7.001 - 10.000 CHF,Fachhochschule/Bachelor,Ich habe keine feste Parteipräferenz
118863934625,458224841,05/13/2025 09:53:31 AM,05/13/2025 09:57:08 AM,194.230.160.93,,,,,38,Weiblich,1,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Stromspeicher um Spitzen in der Energiegewinnung auch nutzen zu können,Keine der genannten Konsequenzen ist problematisch,1 = sehr unwichtig,5 = sehr wichtig,3,5 = sehr wichtig,3,3,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, f",0%,Nein,,"Ja, f",0%,"Ja, +",10%,"Ja, +",10%,"Ja, f",5%,Ja,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Sozialdemokratische Partei der Schweiz (SP)
118863922119,458224841,05/13/2025 09:26:20 AM,05/13/2025 09:29:52 AM,77.58.125.206,,,,,22,Männlich,4,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Energiespeicher,Herausforderungen für die Stabilität der Netze,1 = sehr unwichtig,4,2,5 = sehr wichtig,4,3,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, f",5%,"Ja, +",15%,"Ja, +",3%,Nein,,"Ja, +",50%,"Ja, +",10%,Ja,Ja,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz
118863893346,458224841,05/13/2025 08:13:35 AM,05/13/2025 08:15:57 AM,178.197.222.129,,,,,40,Weiblich,2,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),wn,Steigende Strompreise für Verbraucher,1 = sehr unwichtig,3,1 = sehr unwichtig,5 = sehr wichtig,5 = sehr wichtig,3,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, +",10%,"Ja, +",9%,"Ja, +",10%,Nein,100%,Nein,51%,"Ja, +",14%,Ja,Ja,Über 10.000 CHF,Promotion oder höher,Keine Angabe
118863891002,458224841,05/13/2025 08:00:05 AM,05/13/2025 08:08:52 AM,213.55.233.176,,,,,29,Weiblich,1,,Wohnung (Miete),,,Weiss nicht,wn,Keine der genannten Konsequenzen ist problematisch,4,5 = sehr wichtig,4,5 = sehr wichtig,5 = sehr wichtig,4,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",2%,"Ja, +",6%,"Ja, +",2%,Nein,,"Ja, +",4%,"Ja, f",2%,Ja,Ja,3.000 - 5.000 CHF,Universität/Master,Grüne Partei der Schweiz (GPS)
118863872491,458224841,05/13/2025 07:10:42 AM,05/13/2025 07:16:35 AM,213.55.242.93,,,,,59,Männlich,2,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,es ist unzuverlässiger,Herausforderungen für die Stabilität der Netze,5 = sehr wichtig,5 = sehr wichtig,3,5 = sehr wichtig,4,3,"Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden",Nein,,Nein,,,20%,Nein,,Nein,,Nein,,Ja,Ja,Über 10.000 CHF,Universität/Master,Ich habe keine feste Parteipräferenz
118863862058,458224841,05/13/2025 06:39:12 AM,05/13/2025 06:42:29 AM,83.79.4.219,,,,,52,Männlich,2,,Wohnung (Miete),,,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)","ja, weil die eingespeiste Strommenge variiert",Herausforderungen für die Stabilität der Netze,3,5 = sehr wichtig,4,4,4,4,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",10%,Nein,,Nein,,"Ja, f",10%,Nein,,"Ja, f",20%,Nein,Ja,Über 10.000 CHF,Fachhochschule/Bachelor,Ich habe keine feste Parteipräferenz
118863784974,458224841,05/13/2025 02:58:20 AM,05/13/2025 03:01:29 AM,188.61.199.185,,,,,24,Weiblich,5,,,,Haus (Eigentum),Konventionellen Strom (Kernenergie und fossilen Brennstoffen),"Kosten, Planung",Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,3,4,4,5 = sehr wichtig,3,3,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",20%,Nein,,"Ja, f",,"Ja, +",40%,"Ja, f",,"Ja, f",,Ja,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Grünliberale Partei (GLP)
118863593040,458224841,05/12/2025 09:47:10 PM,05/12/2025 09:52:45 PM,46.126.120.168,,,,,54,Weiblich,5,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Wn,Steigende Strompreise für Verbraucher,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",50%,Nein,0%,"Ja, f",50%,"Ja, +",50%,Nein,0%,"Ja, +",50%,Ja,Ja,7.001 - 10.000 CHF,Universität/Master,Die Mitte
118863567511,458224841,05/12/2025 09:20:32 PM,05/12/2025 09:24:41 PM,178.22.111.171,,,,,29,Weiblich,1,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,"Konzepte müssen besser durchdacht und aufeinander abgestimmt werden. Ich kann mir vorstellen, dass die Energiemenge zu Spitzenzeiten schwieriger zu bewältigen ist als mit konventionellen Stromquellen.",Steigende Strompreise für Verbraucher,3,5 = sehr wichtig,4,4,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, f",,Nein,,Nein,,"Ja, +",20%,"Ja, +",40%,Nein,,Nein,Ja,3.000 - 5.000 CHF,Universität/Master,FDP.Die Liberalen (FDP)
118863548745,458224841,05/12/2025 09:00:50 PM,05/12/2025 09:03:30 PM,84.74.242.99,,,,,46,Weiblich,1,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Wn,Herausforderungen für die Stabilität der Netze,4,4,3,2,3,2,"Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",2%,Nein,,"Ja, +",3%,"Ja, f",1%,"Ja, +",5%,"Ja, f",1%,Ja,Ja,5.001 - 7.000 CHF,Universität/Master,Andere Partei
118863432342,458224841,05/12/2025 06:56:10 PM,05/12/2025 06:58:57 PM,193.5.235.126,,,,,23,Weiblich,4,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),wn,Steigende Strompreise für Verbraucher,3,4,2,4,4,3,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, f",,"Ja, f",,Nein,,"Ja, f",,"Ja, f",,Ja,Ja,7.001 - 10.000 CHF,Berufsausbildung/Lehre/Maturität,Grünliberale Partei (GLP)
118863395010,458224841,05/12/2025 06:11:23 PM,05/12/2025 06:18:31 PM,83.78.114.65,,,,,48,Weiblich,3,,,,Haus (Eigentum),Konventionellen Strom (Kernenergie und fossilen Brennstoffen),wn,Steigende Strompreise für Verbraucher,4,5 = sehr wichtig,4,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",10%,Nein,,"Ja, +",20%,Nein,,Nein,,Nein,,Ja,Ja,Über 10.000 CHF,Universität/Master,Andere Partei
118863368596,458224841,05/12/2025 05:48:28 PM,05/12/2025 05:51:24 PM,82.136.116.172,,,,,20,Männlich,4,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,"Ja, wie wir dies zum Beispiel in Spanien gesehen haben. Man muss genau prüfen, wie stabil das Netzwerk sei.",Herausforderungen für die Stabilität der Netze,2,3,2,2,3,4,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",50%,Nein,,"Ja, f",0%,Nein,,Nein,,Nein,,Ja,Ja,Über 10.000 CHF,Berufsausbildung/Lehre/Maturität,FDP.Die Liberalen (FDP)
118863364986,458224841,05/12/2025 05:41:05 PM,05/12/2025 05:47:34 PM,188.62.211.64,,,,,19,Weiblich,3,Wohnung (Eigentum),,,,Eine Mischung aus konventionellem Strom und Ökostrom,Ja teillweise da die erzeugeung von vielen arten von erneuerbare Energie viel Platz aufnehmen (z.B. Solarplatten oder Windmühlen).,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,2,4,2,3,4,3,"Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, +",25%,"Ja, f",,"Ja, +",10%,"Ja, +",20%,"Ja, +",5%,Ja,Ja,7.001 - 10.000 CHF,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz
118863351926,458224841,05/12/2025 05:30:59 PM,05/12/2025 05:33:16 PM,82.197.179.115,,,,,32,Männlich,3,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Weiss ich nicht,Keine der genannten Konsequenzen ist problematisch,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall",Nein,,Nein,,Nein,,Nein,,Nein,,Nein,,Ja,Ja,Über 10.000 CHF,Universität/Master,Ich habe keine feste Parteipräferenz
118863342592,458224841,05/12/2025 05:17:19 PM,05/12/2025 05:22:31 PM,194.230.147.33,,,,,23,Weiblich,4,,Wohnung (Miete),,,Weiss nicht,wn,Steigende Strompreise für Verbraucher,4,3,4,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, +",30%,"Ja, f",,"Ja, +",30%,"Ja, f",,"Ja, f",,Ja,Ja,5.001 - 7.000 CHF,Fachhochschule/Bachelor,Sozialdemokratische Partei der Schweiz (SP)
118863331096,458224841,05/12/2025 05:05:04 PM,05/12/2025 05:09:42 PM,85.0.110.64,,,,,24,Männlich,4,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),wn,Herausforderungen für die Stabilität der Netze,2,5 = sehr wichtig,5 = sehr wichtig,2,3,3,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",25%,Nein,0%,Nein,0%,"Ja, f",20%,"Ja, +",50%,"Ja, +",20%,Ja,Nein,5.001 - 7.000 CHF,Sekundarschule/Realschule,Sozialdemokratische Partei der Schweiz (SP)
118863327593,458224841,05/12/2025 04:58:29 PM,05/12/2025 05:06:03 PM,81.221.233.74,,,,,63,Männlich,1,,Wohnung (Miete),,,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)",Energieschwankungen (Band-/Spitzenenergie im Winter/Sommer),Herausforderungen für die Stabilität der Netze,1 = sehr unwichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,1 = sehr unwichtig,3,"Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden",Nein,,Nein,,Nein,,Nein,,Nein,,Nein,,Ja,Ja,3.000 - 5.000 CHF,Fachhochschule/Bachelor,Ich habe keine feste Parteipräferenz
118863326262,458224841,05/12/2025 05:01:01 PM,05/12/2025 05:04:39 PM,82.136.104.102,,,,,75,Männlich,2,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Strom speichern,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,1 = sehr unwichtig,2,5 = sehr wichtig,5 = sehr wichtig,3,2,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",10%,"Ja, +",20%,Nein,,Nein,,"Ja, +",10%,"Ja, f",0%,Ja,Ja,7.001 - 10.000 CHF,Universität/Master,Schweizerische Volkspartei (SVP)
118863321869,458224841,05/12/2025 04:52:59 PM,05/12/2025 05:00:03 PM,194.230.147.3,,,,,23,Weiblich,4,,,Haus (Miete),,Eine Mischung aus konventionellem Strom und Ökostrom,Vollständige Umsetzung nimmt viel Zeit in Anspruch,Herausforderungen für die Stabilität der Netze,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall",,"Nein, auf keinen Fall","Ja, +",20%,"Ja, +",20%,"Ja, +",20%,"Ja, +",20%,"Ja, +",20%,"Ja, +",20%,Ja,Ja,Unter 3.000 CHF,Berufsausbildung/Lehre/Maturität,Keine Angabe
